parent_fund,SUPPLEMENTAL_ID_1,Basket Shares
HRCL,EO.US.US.AAPL..C265.20260220,-3
HRCL,EO.US.US.AAPL..C270.20260220,-2
HRCL,EO.US.US.AAPL..C285.20260306,-4
HRCL,EO.US.US.AAPL..P237-5.20260220,-2
HRCL,EO.US.US.AAPL..P242-5.20260220,-2
HRCL,EO.US.US.AAPL..P245.20260306,-7
HRCL,EO.US.US.ABBV..C225.20260220,-3
HRCL,EO.US.US.ABBV..C235.20260220,-2
HRCL,EO.US.US.ABBV..C235.20260306,-6
HRCL,EO.US.US.ABBV..P200.20260220,-3
HRCL,EO.US.US.ABBV..P207-5.20260220,-3
HRCL,EO.US.US.ABBV..P215.20260306,-7
HRCL,EO.US.US.AMAT..C350.20260220,-2
HRCL,EO.US.US.AMAT..C365.20260220,-2
HRCL,EO.US.US.AMAT..C375.20260306,-3
HRCL,EO.US.US.AMAT..P280.20260306,-3
HRCL,EO.US.US.AMAT..P285.20260220,-3
HRCL,EO.US.US.AMAT..P300.20260220,-3
HRCL,EO.US.US.AMZN..C225.20260306,-5
HRCL,EO.US.US.AMZN..C252-5.20260220,-3
HRCL,EO.US.US.AMZN..C260.20260220,-2
HRCL,EO.US.US.AMZN..P185.20260306,-6
HRCL,EO.US.US.AMZN..P215.20260220,-3
HRCL,EO.US.US.AVGO..C362-5.20260220,-1
HRCL,EO.US.US.AVGO..C367-5.20260220,-2
HRCL,EO.US.US.AVGO..C390.20260306,-4
HRCL,EO.US.US.AVGO..P285.20260306,-4
HRCL,EO.US.US.AVGO..P295.20260220,-2
HRCL,EO.US.US.AVGO..P300.20260220,-2
HRCL,EO.US.US.BAC..C55-5.20260220,-9
HRCL,EO.US.US.BAC..C56.20260220,-12
HRCL,EO.US.US.BAC..C58.20260306,-25
HRCL,EO.US.US.BAC..P48.20260306,-29
HRCL,EO.US.US.BAC..P50-5.20260220,-24
HRCL,EO.US.US.CAT..C685.20260220,-1
HRCL,EO.US.US.CAT..C705.20260220,-1
HRCL,EO.US.US.CAT..C790.20260306,-2
HRCL,EO.US.US.CAT..P590.20260220,-1
