FundID,ISIN,CUSIP,Ticker,SEDOL,Currency,Country Restriction,Trade Country,IDENTIFIER,CIN,SSC_ASSET_ID,ROUND LOT,TIP FACTOR,PAR,INTEREST RATE,MATURITY DATE,FUND TICKER,FUND NAME,BASKET DATE,CORPORATE ACTION FACTOR,INTEREST FACTOR,SUPPRESSPRICE,SUPPLEMENTAL_ID_1,SUPPLEMENTAL_ID_2,RIC,BBG,DERIV_TYPE,Basket Shares
HRVP,,,LMT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.LMT..C670.20260320,,LMT   260320C00670000,LMT US 03/20/26 C670 EQUITY,OP,0.0
HRQA,,,LUG,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.LUG..C115.20260320,,LUG   260320C00115000,LUG CN 03/20/26 C115. EQUITY,OP,0.0
HRVG,,,LUV,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.LUV..C51.20260320,,LUV   260320C00051000,LUV US 03/20/26 C51 EQUITY,OP,0.0
HRVG,,,LVS,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.LVS..C56.20260320,,LVS   260320C00056000,LVS US 03/20/26 C56 EQUITY,OP,0.0
HRTG,,,MAA,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MAA..C135.20260320,,MAA   260320C00135000,MAA US 03/20/26 C135 EQUITY,OP,0.0
HRVG,,,MAR,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MAR..C342-5.20260320,,MAR   260320C00342500,MAR US 03/20/26 C342.5 EQUITY,OP,0.0
HRQL,,,MARA,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MARA..C9.20260320,,MARA  260320C00009000,MARA US 03/20/26 C9 EQUITY,OP,0.0
HRCL,,,MCD,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MCD..C340.20260306,,MCD   260306C00340000,MCD US 03/06/26 C340 EQUITY,OP,0.0
HRT9,,,MCD,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MCD..C335.20260320,,MCD   260320C00335000,MCD US 03/20/26 C335 EQUITY,OP,0.0
HRTH,,,MDT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MDT..C99.20260320,,MDT   260320C00099000,MDT US 03/20/26 C99 EQUITY,OP,0.0
HRV3,,,META,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.META..C675.20260306,,META  260306C00675000,META US 03/06/26 C675 EQUITY,OP,0.0
HRCL,,,META,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.META..C725.20260306,,META  260306C00725000,META US 03/06/26 C725 EQUITY,OP,0.0
HR21,,,META,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.META..C655.20260320,,META  260320C00655000,META US 03/20/26 C655 EQUITY,OP,0.0
HRV3,,,META,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.META..C665.20260320,,META  260320C00665000,META US 03/20/26 C665 EQUITY,OP,0.0
HRQP,,,META,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.META..C670.20260320,,META  260320C00670000,META US 03/20/26 C670 EQUITY,OP,0.0
HRCL,,,META,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.META..C690.20260320,,META  260320C00690000,META US 03/20/26 C690 EQUITY,OP,0.0
HRQA,,,MFC,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.MFC..C51-5.20260320,,MFC   260320C00051500,MFC CN 03/20/26 C51.5 EQUITY,OP,0.0
HRQA,,,MG,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.MG..C92.20260320,,MG    260320C00092000,MG CN 03/20/26 C92. EQUITY,OP,0.0
HRVG,,,MGM,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MGM..C34-5.20260320,,MGM   260320C00034500,MGM US 03/20/26 C34.5 EQUITY,OP,0.0
HRTH,,,MRK,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MRK..C124.20260320,,MRK   260320C00124000,MRK US 03/20/26 C124 EQUITY,OP,0.0
HRTG,ES0A06422828,,MRL,,EUR,N,ES,,,,,,,,,,,,,,,EO.ES.MA.MRL..C14-5.20260320,,MRL   260320C00014500,MRL SM 03/20/26 C14.5 EQUITY,OP,0.0
HRQM,,,MRU,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.MRU..C98.20260320,,MRU   260320C00098000,MRU CN 03/20/26 C98. EQUITY,OP,0.0
HRT9,,,MS,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MS..C170.20260320,,MS    260320C00170000,MS US 03/20/26 C170 EQUITY,OP,0.0
HRTP,,,MS,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MS..C170.20260320,,MS    260320C00170000,MS US 03/20/26 C170 EQUITY,OP,0.0
HRVS,,,MSFT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSFT..C415.20260306,,MSFT  260306C00415000,MSFT US 03/06/26 C415 EQUITY,OP,0.0
HRVU,,,MSFT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSFT..C415.20260306,,MSFT  260306C00415000,MSFT US 03/06/26 C415 EQUITY,OP,0.0
HRCL,,,MSFT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSFT..C445.20260306,,MSFT  260306C00445000,MSFT US 03/06/26 C445 EQUITY,OP,0.0
HR21,,,MSFT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSFT..C390.20260320,,MSFT  260320C00390000,MSFT US 03/20/26 C390 EQUITY,OP,0.0
HRT9,,,MSFT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSFT..C390.20260320,,MSFT  260320C00390000,MSFT US 03/20/26 C390 EQUITY,OP,0.0
