FundID,ISIN,CUSIP,Ticker,SEDOL,Currency,Country Restriction,Trade Country,IDENTIFIER,CIN,SSC_ASSET_ID,ROUND LOT,TIP FACTOR,PAR,INTEREST RATE,MATURITY DATE,FUND TICKER,FUND NAME,BASKET DATE,CORPORATE ACTION FACTOR,INTEREST FACTOR,SUPPRESSPRICE,SUPPLEMENTAL_ID_1,SUPPLEMENTAL_ID_2,RIC,BBG,DERIV_TYPE,Basket Shares
HRCL,,,ABBV,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABBV..C235.20260220,,ABBV  260220C00235000,ABBV US 02/20/26 C235 EQUITY,OP,0.0
HRCL,,,ABBV,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABBV..C235.20260306,,ABBV  260306C00235000,ABBV US 03/06/26 C235 EQUITY,OP,0.0
HRVG,,,ABNB,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABNB..C132.20260220,,ABNB  260220C00132000,ABNB US 02/20/26 C132 EQUITY,OP,0.0
HRTH,,,ABT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ABT..C122.20260220,,ABT   260220C00122000,ABT US 02/20/26 C122 EQUITY,OP,0.0
HRVG,,,AC,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.AC..C20.20260220,,AC    260220C00020000,AC CN 02/20/26 C20. EQUITY,OP,0.0
HR21,,,ACN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ACN..C282-5.20260220,,ACN   260220C00282500,ACN US 02/20/26 C282.5 EQUITY,OP,0.0
HRT9,,,ACN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ACN..C282-5.20260220,,ACN   260220C00282500,ACN US 02/20/26 C282.5 EQUITY,OP,0.0
HRTG,,,ADC,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ADC..C75.20260220,,ADC   260220C00075000,ADC US 02/20/26 C75 EQUITY,OP,0.0
HRQ3,,,AEM,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.AEM..C280.20260220,,AEM   260220C00280000,AEM CN 02/20/26 C280. EQUITY,OP,0.0
HRQM,,,AEM,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.AEM..C285.20260220,,AEM   260220C00285000,AEM CN 02/20/26 C285. EQUITY,OP,0.0
HRQ1,,,AEM,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.AEM..C285.20260220,,AEM   260220C00285000,AEM CN 02/20/26 C285. EQUITY,OP,0.0
HRVG,,,ALK,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ALK..C50.20260220,,ALK   260220C00050000,ALK US 02/20/26 C50 EQUITY,OP,0.0
HR21,,,AMAT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..C325.20260220,,AMAT  260220C00325000,AMAT US 02/20/26 C325 EQUITY,OP,0.0
HR21,,,AMAT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..C347-5.20260220,,AMAT  260220C00347500,AMAT US 02/20/26 C347.5 EQUITY,OP,0.0
HRCL,,,AMAT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..C350.20260220,,AMAT  260220C00350000,AMAT US 02/20/26 C350 EQUITY,OP,0.0
HRCL,,,AMAT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..C365.20260220,,AMAT  260220C00365000,AMAT US 02/20/26 C365 EQUITY,OP,0.0
HRCL,,,AMAT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMAT..C375.20260306,,AMAT  260306C00375000,AMAT US 03/06/26 C375 EQUITY,OP,0.0
HR21,,,AMD,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C240.20260220,,AMD   260220C00240000,AMD US 02/20/26 C240 EQUITY,OP,0.0
HRQF,,,AMD,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C240.20260220,,AMD   260220C00240000,AMD US 02/20/26 C240 EQUITY,OP,0.0
HRQP,,,AMD,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C240.20260220,,AMD   260220C00240000,AMD US 02/20/26 C240 EQUITY,OP,0.0
HRQP,,,AMD,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C257-5.20260220,,AMD   260220C00257500,AMD US 02/20/26 C257.5 EQUITY,OP,0.0
HRQF,,,AMD,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMD..C215.20260306,,AMD   260306C00215000,AMD US 03/06/26 C215 EQUITY,OP,0.0
HRVP,,,AME,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AME..C220.20260220,,AME   260220C00220000,AME US 02/20/26 C220 EQUITY,OP,0.0
HRTG,,,AMT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMT..C185.20260220,,AMT   260220C00185000,AMT US 02/20/26 C185 EQUITY,OP,0.0
HRT9,,,AMZN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C235.20260220,,AMZN  260220C00235000,AMZN US 02/20/26 C235 EQUITY,OP,0.0
HRQP,,,AMZN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C240.20260220,,AMZN  260220C00240000,AMZN US 02/20/26 C240 EQUITY,OP,0.0
